,symbol
1028,JLL
1029,ENR
1030,MFGP
1031,LAUR
1032,MSM
1033,CELH
1034,TV
1035,SGMS
1036,QADA
1037,OHI
1038,AEG
1039,DOX
1040,HUN
1041,TGNA
1042,XNCR
1043,DCT
1044,BIO
1045,DSL
1046,ALNY
1047,ESGR
1048,GNL
1049,SMTC
1050,ATHM
1051,TSEM
1052,BUFF
1053,NJR
1054,STEP
1055,AKR
1056,NXE
1057,WLL
1058,BIGC
1059,PRK
1060,QTWO
1061,PING
1062,MGP
1063,CSQ
1064,NUVB
1065,NCR
1066,PRFT
1067,SF
1068,PACW
1069,SKT
1070,AMK
1071,RE
1072,RDNT
1073,EGHT
1074,BANF
1075,RVT
1076,CRS
1077,PATH
1078,UNFI
1079,SLQT
1080,PAC
1081,MATX
1082,CCU
1083,QADB
1084,TUYA
1085,NS
1086,SUM
1087,SRC
1088,SAM
1089,CSWI
1090,SMWB
1091,NMIH
1092,NAD
1093,TMX
1094,COKE
1095,SPT
1096,ABG
1097,KW
1098,EPAY
1099,SI
